,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
384,ranfurly,-45.13,170.1,53.01,50,58,1.01,NZ,1607659929
385,kultayevo,57.89,55.94,-2.2,77,20,2.06,RU,1607660012
386,jacareacanga,-6.22,-57.75,73.51,95,100,1.25,BR,1607660012
387,farafenni,13.57,-15.6,70.92,27,36,4.32,GM,1607660012
388,carrickfergus,54.72,-5.81,48.2,93,86,3.36,GB,1607660013
389,aksarka,66.56,67.8,6.28,94,100,11.5,RU,1607660013
390,campbell river,38.95,-84.38,48.99,93,1,5.73,US,1607660013
391,naryan-mar,67.67,53.09,25.11,97,100,18.88,RU,1607660013
392,blagoyevo,63.37,47.92,15.89,93,0,6.85,RU,1607660014
393,vardo,70.37,31.11,32.0,90,75,12.75,NO,1607660014
394,rawson,-43.3,-65.1,63.84,39,57,28.01,AR,1607659847
395,okuchi,32.07,130.62,59.0,54,75,3.36,JP,1607660014
396,prainha,-1.8,-53.48,75.52,83,68,4.07,BR,1607660015
397,bilibino,68.05,166.44,-2.47,87,90,3.62,RU,1607660015
398,thio,-21.62,166.22,86.0,62,81,12.75,NC,1607660015
399,libertador general san martin,8.03,-62.42,75.99,89,8,5.01,VE,1607660015
400,caxito,-8.58,13.66,77.0,83,75,6.93,AO,1607660015
401,marsa matruh,35.88,14.5,59.0,72,75,17.22,MT,1607660015
402,kroya,-7.63,109.25,73.99,62,100,5.84,ID,1607660016
403,buraydah,26.33,43.98,50.0,100,0,4.7,SA,1607660016
404,reconquista,-29.15,-59.65,72.09,54,0,11.7,AR,1607660016
405,carauari,-4.88,-66.9,74.44,97,100,1.41,BR,1607660016
406,aborlan,9.44,118.55,86.0,84,20,13.87,PH,1607660016
407,rio grande,38.3,21.78,44.6,93,75,2.57,GR,1607660017
408,mao,39.89,4.27,48.2,81,0,5.82,ES,1607660017
409,saint-denis,48.92,2.33,46.0,100,100,10.29,FR,1607660017
410,kavaratti,10.57,72.64,84.2,74,40,6.93,IN,1607660017
411,caraballeda,10.61,-66.85,75.56,74,23,6.38,VE,1607660018
412,ekibastuz,51.67,75.37,0.41,93,80,9.66,KZ,1607660018
413,okha,53.57,142.95,14.88,96,100,8.46,RU,1607660018
414,silopi,37.25,42.47,46.63,61,0,2.3,TR,1607660019
415,tornio,65.85,24.15,28.4,92,90,5.82,FI,1607660019
416,leningradskiy,69.38,178.42,0.61,87,0,8.97,RU,1607660019
417,isabela,6.71,121.97,87.8,62,20,6.89,PH,1607660019
418,eyl,7.98,49.82,73.47,47,30,17.74,SO,1607660019
419,urdoma,61.75,48.54,15.49,92,0,7.45,RU,1607660019
420,bolzano,46.49,11.33,28.0,85,90,1.12,IT,1607660020
421,kargil,34.57,76.1,16.68,77,95,2.66,IN,1607660020
422,izhma,65.01,53.91,16.88,94,50,7.09,RU,1607660020
423,imeni poliny osipenko,7.32,5.96,72.19,98,57,3.96,NG,1607660020
424,poum,-20.23,164.02,81.54,77,100,14.03,NC,1607660021
425,pevek,69.7,170.31,7.84,88,79,11.18,RU,1607660021
426,kolosovka,56.47,73.61,7.3,94,75,6.91,RU,1607660021
427,mbaiki,3.87,17.99,70.41,68,76,3.22,CF,1607660021
428,qaracala,39.81,48.95,37.38,80,67,5.7,AZ,1607660021
429,gao,16.64,1.64,71.74,22,0,8.01,ML,1607660021
430,nanhai,30.13,111.78,48.99,84,47,0.65,CN,1607660022
431,niamey,13.51,2.11,73.4,27,0,4.7,NE,1607660001
432,taltal,-25.4,-70.48,59.59,77,40,1.57,CL,1607660022
433,muisne,0.6,-80.03,76.59,86,100,6.89,EC,1607660022
434,bosaso,11.28,49.18,76.1,51,45,9.73,SO,1607660022
435,ust-nera,64.57,143.2,-37.3,71,59,4.59,RU,1607660023
436,san cristobal,13.3,-4.9,69.8,24,0,8.52,ML,1607660023
437,basoko,1.24,23.62,71.42,92,53,2.17,CD,1607660023
438,indianola,41.36,-93.56,41.0,69,100,9.75,US,1607660023
439,numan,9.47,12.03,73.47,27,34,1.43,NG,1607660023
440,erzin,36.96,36.2,55.99,67,45,6.49,TR,1607659901
441,saryg-sep,51.5,95.6,2.57,91,100,2.01,RU,1607660024
442,cajamarca,-7.16,-78.5,55.44,82,100,1.52,PE,1607660024
443,nchelenge,-9.35,28.73,70.07,83,100,2.75,ZM,1607660024
444,mashhad,36.3,59.61,30.2,100,90,6.93,IR,1607659825
445,beringovskiy,63.05,179.32,24.04,95,100,23.87,RU,1607660025
446,vila velha,42.03,-8.16,55.99,96,100,14.0,PT,1607660004
447,butia,-30.12,-51.96,63.57,95,0,4.63,BR,1607660025
448,xinzhou,38.41,112.73,29.84,74,82,3.65,CN,1607660025
449,powell river,40.16,-83.08,43.0,75,1,8.05,US,1607660025
450,bandarbeyla,9.49,50.81,73.72,63,0,18.57,SO,1607660025
451,taquara,-29.65,-50.78,71.01,83,1,2.95,BR,1607660026
452,morant bay,17.9,-76.43,78.8,74,75,8.05,JM,1607660026
453,bismarck,46.81,-100.78,25.0,85,1,5.82,US,1607660016
454,teguise,29.06,-13.56,64.4,82,75,12.75,ES,1607660026
455,puerto madero,36.59,-6.23,63.0,93,40,12.75,ES,1607659983
456,hebi,35.9,114.19,45.37,52,91,5.44,CN,1607660027
457,taksimo,56.34,114.88,-11.63,75,57,1.86,RU,1607660027
458,seoul,37.57,126.98,48.2,61,75,6.04,KR,1607659992
459,sioux lookout,42.73,-96.23,36.0,86,1,12.75,US,1607660028
460,glenwood springs,41.54,-87.6,46.4,80,1,3.36,US,1607660028
461,rio gallegos,38.3,21.78,44.6,93,75,2.57,GR,1607660028
462,soyo,-6.13,12.37,77.72,88,100,6.69,AO,1607660028
463,puerto del rosario,36.59,-6.23,63.0,93,40,12.75,ES,1607660029
464,douglas,41.3,-96.17,39.99,69,1,12.75,US,1607659910
465,utete,-7.99,38.76,75.38,90,100,0.94,TZ,1607660029
466,saint-pierre,-21.34,55.48,78.8,61,40,26.4,RE,1607659949
467,severomuysk,56.15,113.43,-23.78,82,60,1.43,RU,1607660029
468,saldanha,-33.01,17.94,60.8,87,100,3.36,ZA,1607659943
469,samana,19.21,-69.34,73.2,85,17,1.66,DO,1607660030
470,nouakchott,18.09,-15.98,64.4,22,99,8.05,MR,1607660030
471,dutse,11.76,9.34,63.54,31,29,2.93,NG,1607660030
472,karungdong,5.88,121.26,85.98,71,51,8.84,PH,1607660030
473,hun,29.13,15.95,51.64,42,0,8.39,LY,1607660030
474,nenjiang,49.18,125.22,6.28,85,0,12.5,CN,1607660031
475,hamilton,39.18,-84.53,48.99,66,1,6.93,US,1607659913
476,aykhal,66.0,111.5,-38.2,65,0,6.71,RU,1607660031
477,saint-francois,46.42,3.91,41.0,86,0,5.82,FR,1607660031
478,yushan,31.38,120.95,52.0,87,90,6.71,CN,1607660031
479,launceston,-41.45,147.17,71.01,40,0,3.36,AU,1607660031
480,hambantota,6.12,81.12,78.8,88,20,2.24,LK,1607659967
481,mende,44.67,3.5,30.42,100,100,6.89,FR,1607660032
482,kysyl-syr,63.9,122.76,-37.03,81,94,3.02,RU,1607660032
483,anadyr,64.75,177.48,8.6,84,20,2.24,RU,1607660032
484,mukhen,48.1,136.1,18.34,88,100,7.38,RU,1607660032
485,nicoya,10.15,-85.45,75.2,78,0,4.7,CR,1607659980
486,isangel,-19.55,169.27,87.8,70,75,9.17,VU,1607660033
487,monrovia,6.3,-10.8,77.0,94,75,5.5,LR,1607660033
488,doka,13.52,35.77,66.43,86,15,10.85,SD,1607660033
489,gaoual,11.75,-13.2,71.62,80,0,0.29,GN,1607660033
490,chokwe,-24.53,32.98,76.33,63,0,8.57,MZ,1607660034
491,bay roberts,43.73,-84.02,39.2,90,1,7.63,US,1607660034
492,sedro-woolley,48.5,-122.24,42.01,93,90,4.7,US,1607660034
493,arlit,18.74,7.39,70.27,23,0,3.42,NE,1607659983
494,port macquarie,-7.03,29.76,71.02,74,94,7.87,CD,1607659941
495,yonibana,8.44,-12.24,73.6,96,51,1.16,SL,1607660035
496,muzhi,65.37,64.67,11.97,93,47,8.01,RU,1607660035
497,tadine,-21.55,167.88,80.38,81,97,17.43,NC,1607660035
498,altay,47.87,88.12,6.21,88,100,1.68,CN,1607660035
499,roald,62.58,6.13,42.8,62,100,5.82,NO,1607660035
500,houma,29.6,-90.72,60.01,93,40,5.82,US,1607660035
501,byron bay,44.03,-92.65,37.4,74,1,8.05,US,1607660036
502,malakal,9.53,31.66,73.67,36,81,3.53,SS,1607660036
503,chico,39.73,-121.84,51.8,50,1,4.7,US,1607659793
504,andijon,40.78,72.34,39.99,85,80,1.01,UZ,1607660036
505,wote,-1.78,37.63,62.73,89,94,3.24,KE,1607660037
506,guaruja,-23.99,-46.26,77.0,26,57,5.93,BR,1607659915
507,safaga,26.73,33.94,57.2,41,0,5.21,EG,1607660037
508,kununurra,-15.77,128.73,93.2,56,89,6.93,AU,1607660037
509,alikalia,9.17,-11.4,69.55,97,43,1.79,SL,1607660037
510,deputatskiy,69.3,139.9,-34.02,82,8,4.18,RU,1607660037
511,itoman,26.12,127.67,78.8,78,75,11.41,JP,1607660037
512,rosetown,51.55,-108.0,3.2,84,7,6.93,CA,1607660038
513,veraval,20.9,70.37,75.13,82,88,5.19,IN,1607660038
